ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
HUG1173.lm:12	HUG	HUG_24	HUG1173	poem	12	6+6	13		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1174.lm:12	HUG	HUG_24	HUG1174	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1175.lm:1	HUG	HUG_24	HUG1175	poem	1	1	54		0.1	mètre simple		2022-06-12	
HUG1175.lm:8	HUG	HUG_24	HUG1175	poem	8	8	54		0.1	mètre simple		2022-06-12	
HUG1176.lm:12	HUG	HUG_24	HUG1176	poem	12	6+6	4		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1176.lm:8	HUG	HUG_24	HUG1176	poem	8	8	2		0.1	mètre simple		2022-06-12	
HUG1177.lm:12	HUG	HUG_24	HUG1177	poem	12	6+6	36		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1177.lm:6	HUG	HUG_24	HUG1177	poem	6	6	18		0.1	mètre simple		2022-06-12	
HUG1178.lm:7	HUG	HUG_24	HUG1178	poem	7	7	36		0.1	mètre simple		2022-06-12	
HUG1179.lm:12	HUG	HUG_24	HUG1179	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG118.lm:12	HUG	HUG_6	HUG118	poem	12	6+6	77		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG118.lm:8	HUG	HUG_6	HUG118	poem	8	8	7		0.1	mètre simple		2022-06-12	
HUG1180.lm:8	HUG	HUG_24	HUG1180	poem	8	8	10		0.1	mètre simple		2022-06-12	
HUG1181.lm:12	HUG	HUG_24	HUG1181	poem	12	6+6	10		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1182.lm:12	HUG	HUG_24	HUG1182	poem	12	6+6	8		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1183.lm:12	HUG	HUG_24	HUG1183	poem	12	6+6	11		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1184.lm:12	HUG	HUG_24	HUG1184	poem	12	6+6	42		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1185.lm:12	HUG	HUG_24	HUG1185	poem	12	6−6	66		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-12	
HUG1186.lm:12	HUG	HUG_24	HUG1186	poem	12	6+6	114		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1187.lm:12	HUG	HUG_24	HUG1187	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1188.lm:12	HUG	HUG_24	HUG1188	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1189.lm:12	HUG	HUG_24	HUG1189	poem	12	6+6	9		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1189.lm:6	HUG	HUG_24	HUG1189	poem	6	6	3		0.1	mètre simple		2022-06-12	
HUG119.lm:12	HUG	HUG_6	HUG119	poem	12	6+6	7		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG119.lm:8	HUG	HUG_6	HUG119	poem	8	8	3		0.1	mètre simple		2022-06-12	
HUG1190.lm:12	HUG	HUG_24	HUG1190	poem	12	6+6	24		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1191.lm:12	HUG	HUG_24	HUG1191	poem	12	6+6	52		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1192.lm:12	HUG	HUG_24	HUG1192	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1193.lm:12	HUG	HUG_24	HUG1193	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1194.lm:12	HUG	HUG_24	HUG1194	poem	12	6+6	42		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1195.lm:8	HUG	HUG_24	HUG1195	poem	8	8	20		0.1	mètre simple		2022-06-12	
HUG1196.lm:12	HUG	HUG_24	HUG1196	poem	12	6+6	44		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1197.lm:12	HUG	HUG_24	HUG1197	poem	12	6+6	30		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1198.lm:12	HUG	HUG_24	HUG1198	poem	12	6+6	8		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1199.lm:12	HUG	HUG_24	HUG1199	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG12.lm:7	HUG	HUG_15	HUG12	poem	7	7	8		0.1	mètre simple		2022-06-05	
HUG120.lm:12	HUG	HUG_6	HUG120	poem	12	6+6	24		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG120.lm:8	HUG	HUG_6	HUG120	poem	8	8	12		0.1	mètre simple		2022-06-12	
HUG1200.lm:12	HUG	HUG_24	HUG1200	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1200.lm:8	HUG	HUG_24	HUG1200	poem	8	8	20		0.1	mètre simple		2022-06-12	
HUG1201.lm:8	HUG	HUG_24	HUG1201	poem	8	8	6		0.1	mètre simple		2022-06-12	
HUG1202.lm:12	HUG	HUG_24	HUG1202	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1203.lm:12	HUG	HUG_24	HUG1203	poem	12	6+6	34		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1204.lm:12	HUG	HUG_24	HUG1204	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1205.lm:8	HUG	HUG_24	HUG1205	poem	8	8	12		0.1	mètre simple		2022-06-12	
HUG1206.lm:12	HUG	HUG_24	HUG1206	poem	12	6+6	15		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1207.lm:12	HUG	HUG_24	HUG1207	poem	12	6+6	26		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1208.lm:12	HUG	HUG_24	HUG1208	poem	12	6+6	94		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1209.lm:12	HUG	HUG_24	HUG1209	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG121.lm:3	HUG	HUG_6	HUG121	poem	3	3	38		0.1	mètre simple		2022-06-12	
HUG121.lm:7	HUG	HUG_6	HUG121	poem	7	7	76		0.1	mètre simple		2022-06-12	
HUG1210.lm:12	HUG	HUG_24	HUG1210	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1211.lm:12	HUG	HUG_24	HUG1211	poem	12	6+6	8		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1212.lm:8	HUG	HUG_24	HUG1212	poem	8	8	56		0.1	mètre simple		2022-06-12	
HUG1213.lm:8	HUG	HUG_24	HUG1213	poem	8	8	16		0.1	mètre simple		2022-06-12	
HUG1214.lm:12	HUG	HUG_24	HUG1214	poem	12	6+6	46		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1215.lm:12	HUG	HUG_24	HUG1215	poem	12	6+6	66		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1216.lm:12	HUG	HUG_24	HUG1216	poem	12	6+6	26		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1217.lm:12	HUG	HUG_24	HUG1217	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1218.lm:12	HUG	HUG_24	HUG1218	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1219.lm:12	HUG	HUG_24	HUG1219	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1219.lm:6	HUG	HUG_24	HUG1219	poem	6	6	6		0.1	mètre simple		2022-06-12	
HUG122.lm:8	HUG	HUG_6	HUG122	poem	8	8	21		0.1	mètre simple		2022-06-12	
HUG1220.lm:12	HUG	HUG_24	HUG1220	poem	12	6+6	52		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1221.lm:12	HUG	HUG_24	HUG1221	poem	12	6−6	24		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-12	
HUG1222.lm:12	HUG	HUG_24	HUG1222	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1223.lm:12	HUG	HUG_24	HUG1223	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1224.lm:12	HUG	HUG_24	HUG1224	poem	12	6+6	39		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1224.lm:6	HUG	HUG_24	HUG1224	poem	6	6	13		0.1	mètre simple		2022-06-12	
HUG1225.lm:12	HUG	HUG_24	HUG1225	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1225.lm:8	HUG	HUG_24	HUG1225	poem	8	8	16		0.1	mètre simple		2022-06-12	
HUG1226.lm:8	HUG	HUG_24	HUG1226	poem	8	8	20		0.1	mètre simple		2022-06-12	
HUG1227.lm:8	HUG	HUG_24	HUG1227	poem	8	8	30		0.1	mètre simple		2022-06-12	
HUG1228.lm:8	HUG	HUG_24	HUG1228	poem	8	8	400		0.1	mètre simple		2022-06-12	
HUG1229.lm:12	HUG	HUG_24	HUG1229	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG123.lm:12	HUG	HUG_6	HUG123	poem	12	6+6	40		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG123.lm:8	HUG	HUG_6	HUG123	poem	8	8	20		0.1	mètre simple		2022-06-12	
HUG1230.lm:12	HUG	HUG_24	HUG1230	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1230.lm:6	HUG	HUG_24	HUG1230	poem	6	6	8		0.1	mètre simple		2022-06-12	
HUG1231.lm:12	HUG	HUG_24	HUG1231	poem	12	6+6	136		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1232.lm:12	HUG	HUG_24	HUG1232	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1233.lm:12	HUG	HUG_24	HUG1233	poem	12	6+6	52		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1234.lm:12	HUG	HUG_24	HUG1234	poem	12	6+6	64		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1235.lm:12	HUG	HUG_24	HUG1235	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1236.lm:12	HUG	HUG_24	HUG1236	poem	12	6+6	18		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1237.lm:12	HUG	HUG_24	HUG1237	poem	12	6+6	60		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1238.lm:12	HUG	HUG_24	HUG1238	poem	12	6+6	3		1.1.1.1.1	profil traditionnel	profil(s) concurrent(s) atypiques écarté(s) : ['3+9', '4+8']	2022-06-12	
HUG1238.lm:8	HUG	HUG_24	HUG1238	poem	8		1		0.0	vers unique		2022-06-12	
HUG1239.lm:12	HUG	HUG_24	HUG1239	poem	12	6+6	85		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG124.lm:8	HUG	HUG_6	HUG124	poem	8	8	48		0.1	mètre simple		2022-06-12	
HUG1240.lm:8	HUG	HUG_24	HUG1240	poem	8	8	44		0.1	mètre simple		2022-06-12	
HUG1241.lm:12	HUG	HUG_24	HUG1241	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1242.lm:12	HUG	HUG_24	HUG1242	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1243.lm:12	HUG	HUG_24	HUG1243	poem	12	6+6	83		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1244.lm:12	HUG	HUG_24	HUG1244	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1245.lm:12	HUG	HUG_24	HUG1245	poem	12	6+6	36		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1246.lm:12	HUG	HUG_24	HUG1246	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1247.lm:12	HUG	HUG_24	HUG1247	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1248.lm:12	HUG	HUG_24	HUG1248	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1249.lm:4	HUG	HUG_24	HUG1249	poem	4	4	10		0.1	mètre simple		2022-06-12	
HUG1249.lm:8	HUG	HUG_24	HUG1249	poem	8	8	10		0.1	mètre simple		2022-06-12	
HUG125.lm:12	HUG	HUG_6	HUG125	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1250.lm:12	HUG	HUG_24	HUG1250	poem	12	6−6	234		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-12	
HUG1251.lm:12	HUG	HUG_24	HUG1251	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1252.lm:12	HUG	HUG_24	HUG1252	poem	12	6+6	37		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1253.lm:12	HUG	HUG_24	HUG1253	poem	12	6+6	2		1.1.1.1.1	profil traditionnel	profil(s) concurrent(s) atypiques écarté(s) : ['3+9', '4+8']	2022-06-12	
HUG1254.lm:12	HUG	HUG_24	HUG1254	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1255.lm:12	HUG	HUG_24	HUG1255	poem	12	6+6	24		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1256.lm:12	HUG	HUG_24	HUG1256	poem	12	6+6	8		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1257.lm:12	HUG	HUG_24	HUG1257	poem	12	6+6	19		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1258.lm:12	HUG	HUG_24	HUG1258	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1259.lm:12	HUG	HUG_24	HUG1259	poem	12	6+6	12		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG126.lm:12	HUG	HUG_6	HUG126	poem	12	6+6	32		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG126.lm:8	HUG	HUG_6	HUG126	poem	8	8	16		0.1	mètre simple		2022-06-12	
HUG1260.lm:12	HUG	HUG_24	HUG1260	poem	12	6+6	9		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1261.lm:12	HUG	HUG_24	HUG1261	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1261.lm:8	HUG	HUG_24	HUG1261	poem	8	8	8		0.1	mètre simple		2022-06-12	
HUG1262.lm:12	HUG	HUG_24	HUG1262	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1263.lm:12	HUG	HUG_24	HUG1263	poem	12	6+6	8		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1264.lm:12	HUG	HUG_24	HUG1264	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1264.lm:8	HUG	HUG_24	HUG1264	poem	8	8	4		0.1	mètre simple		2022-06-12	
HUG1265.lm:12	HUG	HUG_24	HUG1265	poem	12	6−6	20		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-12	
HUG1266.lm:12	HUG	HUG_24	HUG1266	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1266.lm:4	HUG	HUG_24	HUG1266	poem	4	4	14		0.1	mètre simple		2022-06-12	
HUG1267.lm:12	HUG	HUG_24	HUG1267	poem	12	6+6	48		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1268.lm:12	HUG	HUG_24	HUG1268	poem	12	6+6	6		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1269.lm:12	HUG	HUG_24	HUG1269	poem	12	6+6	14		1.1.2.1.1	profil traditionnel		2022-06-12	
