ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
HUG130.lm:5	HUG	HUG_6	HUG130	poem	5	5	16		0.1	mètre simple		2022-06-12	
HUG130.lm:6	HUG	HUG_6	HUG130	poem	6	6	16		0.1	mètre simple		2022-06-12	
HUG130.lm:7	HUG	HUG_6	HUG130	poem	7	7	16		0.1	mètre simple		2022-06-12	
HUG130.lm:8	HUG	HUG_6	HUG130	poem	8	8	16		0.1	mètre simple		2022-06-12	
HUG1300.lm:12	HUG	HUG_24	HUG1300	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1300.lm:6	HUG	HUG_24	HUG1300	poem	6	6	10		0.1	mètre simple		2022-06-12	
HUG1301.lm:12	HUG	HUG_24	HUG1301	poem	12	6+6	4		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1302.lm:12	HUG	HUG_24	HUG1302	poem	12	6+6	30		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1303.lm:12	HUG	HUG_24	HUG1303	poem	12	6+6	6		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1304.lm:12	HUG	HUG_24	HUG1304	poem	12	6+6	56		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1305.lm:12	HUG	HUG_24	HUG1305	poem	12	6+6	11		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1306.lm:8	HUG	HUG_24	HUG1306	poem	8	8	12		0.1	mètre simple		2022-06-12	
